"","Engine.RPM.rpm.","Speed..OBD..km.h.","Speed..GPS..km.h.","Miles.Per.Gallon.Instant..mpg.","Intake.Air.Temperature..C.","Trip.average.MPG.mpg.","Trip.average.KPL.kpl.","Litres.Per.100.Kilometer.Instant..l.100km.","Acceleration.Sensor.Total..g.","Horsepower..At.the.wheels..hp.","Average.trip.speed.whilst.moving.only..km.h.","Trip.Time.Since.journey.start..s.","Distance.to.empty..Estimated..km.","Fuel.Remaining..Calculated.from.vehicle.profile....","Fuel.used..trip..l.","Average.trip.speed.whilst.stopped.or.moving..km.h.","Miles.Per.Gallon.Long.Term.Average..mpg.","Kilometers.Per.Litre.Long.Term.Average..kpl.","Litres.Per.100.Kilometer.Long.Term.Average..l.100km."
"21",892,3,"8.24399948",40.32710648,31,"38.93710327","13.78373432","7.00471783",0.01561431,"1.62463641","13.02173901",108,"223.02331543","46.89749908","0.02665639","13.02173901",20.67473793,7.31885767,13.66305065
"22",1404.75,10,"7.16400003",21.11847496,31,"36.69564438","12.99025726","13.37596607",0.16069569,"1.10330212","12.55102062",113,"222.98750305","46.89393997","0.02897026","12.55102062",20.6653862,7.31554651,13.66923428
"23",982.75,12,"9.53999996",44.42161942,31,"36.91025162","13.06622982","6.35906553",0.24798229,"2.48402047","12.5",118,"222.98774719","46.89358521","0.02920002","12.5",20.67477226,7.31886911,13.66302872
"24",939.25,11,"4.06799984",49.74341965,31,"37.01899719","13.10472488","5.67874098",0.21542837,"6.90556908","12.56363678",123,"223.1169281","46.89270401","0.02977453","12.56363678",20.68922234,7.32398462,13.65348625
"25",1312.25,17,"4.03200006",9.14225578,31,"36.30420685","12.85169029","30.898283",0.02435728,"4.61716318","12.48214245",128,"223.23153687","46.89076614","0.03103282","12.48214245",20.68466568,7.32237148,13.65649414
"26",887,7,"11.55599976",72.99953461,32,"37.09329224","13.13102531","3.86961389",-0.00540632,NA,"12.60317421",133,"223.375","46.88904953","0.03214881","12.60317421",20.70327759,7.32896042,13.64421654
"27",1212,16,"12.45599937",10.71396637,31,"35.75997162","12.65902996","26.36558533",-0.008921,"8.00983047","12.515625",138,"223.28765869","46.88253021","0.03638728","12.515625",20.69412613,7.32572031,13.65025043
"28",1089.5,11,"13.8239994",30.53574944,32,"35.63847733","12.61602116","9.25079632",0.08454344,NA,"12.60294151",143,"223.23382568","46.8801384","0.03794092","12.60294151",20.69800377,7.32709312,13.64769363
"29",1088.75,15,"11.08799934",11.13282585,32,"35.44013596","12.54580784","25.37361336",0.00512241,"2.36447501","12.44285679",148,"223.39587402","46.87815857","0.03922939","12.44285679",20.70625305,7.33001375,13.64225578
"30",940.5,12,"11.59200001",63.59601212,32,"37.11029434","13.13704395","4.44178772",0.14189516,NA,"12.51351357",153,"223.69036865","46.87593842","0.04067171","12.51351357",20.75515938,7.34732676,13.61010933
"31",1028,13,"7.88399982",52.80930328,32,"37.82013321","13.3883276","5.3490572",0.01983257,"1.14516652","12.49333286",158,"224.02255249","46.87533569","0.04106302","12.49333286",20.78195763,7.35681343,13.59255886
"32",988,11,"8.20799923",22.68575859,33,"37.52338028","13.28327751","12.4518652",0.17713469,NA,"12.50617313",163,"224.14213562","46.87195206","0.04326311","12.50617313",20.78270531,7.35707808,13.59206963
"33",876,11,"12.49199963",48.86378098,33,"37.34702682","13.22084808","5.78096867",0.01609918,NA,"12.48780441",168,"224.11364746","46.86779785","0.04596296","12.48780441",20.79217911,7.36043119,13.58587837
"34",771.5,10,"7.84800005",48.92000961,33,"38.19825363","13.52218151","5.77432394",-0.07089793,NA,"12.4069767",173,"224.51568604","46.86581421","0.04725198","12.4069767",20.83033371,7.37393808,13.56099319
"35",665.75,12,"9.82800007",47.41939926,33,"38.36002731","13.57944965","5.95705557",0.16382615,NA,"12.35227299",178,"224.63287354","46.86547852","0.04747077","12.35227299",20.84075165,7.37762642,13.55421352
"36",1459.75,20,"18.97200012",17.62012672,33,"37.65923309","13.33136845","16.03166771",-0.19607857,"7.21312046","12.52173901",183,"224.71104431","46.86107254","0.05033479","12.52173901",20.83828163,7.3767519,13.55582047
"37",1230.25,11,"15.55200005",37.88903046,33,"37.66306305","13.33272362","7.45545626",0.1120574,NA,"12.60215092",188,"224.68412781","46.85829163","0.0521422","12.60215092",20.84495544,7.37911415,13.55148029
"38",1295,18,"10.04399967",21.03227615,33,"36.92366791","13.07097816","13.43078518",0.04456177,"7.42889595","12.47474766",193,"224.75334167","46.85448074","0.05461916","12.47474766",20.84646988,7.37965012,13.5504961
"39",1124,14,"5.86800003",71.71572876,33,"37.46729279","13.26342106","3.93888497",0.11775721,NA,"12.52999973",198,"224.75245667","46.85413361","0.05484519","12.52999973",20.86634827,7.38668728,13.53758717
"40",671.25,8,"0",35.29388809,33,"37.40464401","13.24124432","8.00365162",-0.02684203,NA,"12.5047617",203,"225.02322388","46.85304642","0.0555502","12.5047617",20.87769699,7.39070511,13.53022766
"41",796.25,12,"4.46399975",22.73341751,33,"37.10755157","13.13607311","12.42576027",-0.4371295,"1.22869802","12.46226406",208,"225.12600708","46.85217285","0.05611837","12.46226406",20.88271141,7.3924799,13.52697849
"42",1285.75,17,"22.68000031",13.45136642,33,"36.76470947","13.01470661","21.00009727",0.07427475,"1.94654179","12.56756783",213,"225.11317444","46.84788513","0.0589058","12.56756783",20.87981415,7.39145422,13.52885628
"43",1074.25,15,"1.61999989",54.88304138,33,"37.45605087","13.25944138","5.146945",0.04480043,NA,"12.54867268",218,"225.27111816","46.84628296","0.05994853","12.54867268",20.91132355,7.40260887,13.50847054
"44",822,3,"1.43999994",26.20122719,33,"37.59455872","13.30847454","10.78117466",0.02959181,NA,"12.52586174",223,"225.62071228","46.84164429","0.06296374","12.52586174",20.93463326,7.41086054,13.49342918
"45",1013,7,"0",20.89016724,33,"37.3718338","13.22962952","13.52215099",0.17939351,NA,"12.42735004",228,"225.64179993","46.84143448","0.06309957","12.42735004",20.93461609,7.41085434,13.49344063
"46",647,2,"2.9519999",11.95262146,33,"36.64408112","12.97200489","23.63331032",0.02901808,NA,"12.13934422",233,"225.63529968","46.83879089","0.06481772","12.13934422",20.93172073,7.40982914,13.49530792
"47",1001,7,"0",2.91674018,33,"36.21715164","12.82087231","96.84783936",0.06220218,"0.82017547","12.05691051",238,"225.59120178","46.83744431","0.0656916","12.05691051",20.92472076,7.40735149,13.49982166
"48",1148.5,7,"0",11.28374004,33,"35.86188889","12.69510937","25.03425407",-0.10909577,"1.35991657","11.88976383",243,"225.54232788","46.83300781","0.06857563","11.88976383",20.92542267,7.40759993,13.49936867
"49",1363.25,18,"0",17.72789383,33,"35.3249054","12.50501633","15.93421078",-0.03591496,"6.90793705","11.875",248,"225.44520569","46.83120346","0.0697483","11.875",20.9197216,7.40558195,13.50304699
"50",827.5,12,"0",63.59601212,33,"36.0403595","12.75828743","4.44178772",0.03595313,NA,"12.00757599",253,"225.61695862","46.82890701","0.07124134","12.00757599",20.95446014,7.4178791,13.48066235
"51",1755.25,23,"0",10.24887753,33,"35.4871254","12.56244278","27.56204224",-0.21817641,"8.40368366","12.00751877",258,"225.75067139","46.8259697","0.07315155","12.00751877",20.94750404,7.41541672,13.48513794
"52",1709.25,23,"8.74800014",25.96121407,33,"35.93310547","12.72031975","10.88084698",0.24381784,"2.75019526","12.34306526",263,"225.94735718","46.82086945","0.07646705","12.34306526",20.97411919,7.42483807,13.46802711
"53",1609.25,20,"22.46399879",33.42426682,33,"35.84575653","12.68939877","8.45134449",0.00640149,"1.54796195","12.42753601",268,"225.99838257","46.81890869","0.07773998","12.42753601",20.98261452,7.42784548,13.46257401
"54",1324.25,14,"17.63999939",21.74222755,33,"35.69245911","12.63513088","12.99222946",0.02788167,NA,"12.6223774",273,"226.032547","46.8152504","0.08011875","12.6223774",20.98290825,7.42794943,13.46238518
"55",746.75,0,"4.17599964",37.93552017,33,"35.98699951","12.739398","7.44631958",0.0090193,NA,"12.53793144",278,"226.19540405","46.81370926","0.08111928","12.53793144",21.00496483,7.43575764,13.44824886
"56",1052,7,"6.65999985",8.85524273,33,"35.67177963","12.62781048","31.89974785",0.45031852,"1.48482776","12.5",283,"226.22834778","46.80766678","0.08504736","12.24832249",20.999506,7.43382502,13.45174503
"57",912.75,12,"11.5199995",6.67475128,33,"35.37589264","12.52306557","42.32067871",0.51175034,"1.61234975","12.47972965",288,"226.1652832","46.80506134","0.08674166","12.23178768",20.99398232,7.43186951,13.45528507
"58",1023.25,23,"18.1439991",15.98390961,33,"35.16225433","12.44743824","17.67277336",0.07460146,"1.74334228","12.62745094",293,"226.05393982","46.8001442","0.08993666","12.38461494",20.99137306,7.43094587,13.45695686
"59",1161.75,17,"23.61599922",18.40324211,33,"34.99466324","12.38811111","15.34946823",-0.01899745,"8.18437767","12.70779228",298,"226.01991272","46.79310226","0.09451605","12.46496773",20.99037552,7.43059301,13.45759678
"60",924,18,"14.68799973",20.19868088,33,"34.84817123","12.33625221","13.98507118",0.28062856,"2.84702659","12.8113203",303,"226.01991272","46.79310226","0.09451605","12.57407379",20.99007034,7.43048477,13.45779228
"61",1470.5,29,"24.37199974",16.6316967,33,"34.53398514","12.2250309","16.98443794",0.02960917,"10.07745647","12.85000038",308,"225.97566223","46.7870903","0.09842254","12.61349678",20.98828316,7.42985201,13.4589386
"62",1730.75,35,"34.20000076",31.93951035,33,"34.40323257","12.17874432","8.84421825",-0.00836886,"2.12855577","13.31707287",313,"225.91212463","46.77560425","0.10588853","13.07784462",20.99342155,7.43167114,13.45564365
"63",1221,34,"37.33199692",76.85445404,33,"34.77312088","12.30968475","3.67551899",0.13870291,"3.63717341","13.44848442",318,"225.99186707","46.77370071","0.10712555","13.20833302",21.01893997,7.44070482,13.43930817
"64",889,28,"32.07600021",35.08655548,33,"34.77602386","12.31071186","8.05094624",0.04752964,"4.11284161","13.91124249",323,"226.20040894","46.7690506","0.11014961","13.66860485",21.02434349,7.44261789,13.435853
"65",992.75,12,"10.54800034",44.34879684,33,"34.81271362","12.3237009","6.36950779",0.01093123,NA,"13.96491241",328,"226.26803589","46.76399231","0.11343638","13.72413826",21.03645134,7.44690371,13.42812061
"66",1702.75,24,"21.63599968",12.49550438,33,"34.63464355","12.26066399","22.60653114",-0.02124431,"7.93772507","14.03999996",333,"226.417099","46.7611084","0.11531207","13.80337048",21.03936958,7.44793701,13.42625713
"67",1373,28,"27.53999901",84.49099731,33,"34.89982224","12.35453701","3.34331465",-0.00752177,"2.8345046","14.11363602",338,"226.31965637","46.75340271","0.12031909","13.87709522",21.06137848,7.45572805,13.41222763
"68",922,22,"22.7159996",85.46891022,34,"35.85639572","12.69316387","3.30506158",0.03450037,NA,"14.37222195",343,"226.87487793","46.75084686","0.12198012","14.13661194",21.11447716,7.47452497,13.37849903
"69",826.5,13,"13.28399944",77.64655304,34,"36.21357727","12.81960678","3.63802361",0.04961034,NA,"14.39778996",348,"227.13858032","46.75053024","0.12218605","14.16304302",21.13611984,7.48218632,13.3647995
"70",1761.25,24,"19.04399872",17.02828789,34,"35.87473679","12.69965649","16.58886719",0.04348995,"4.77243948","14.46236515",353,"227.322052","46.74551392","0.12544818","14.2328043",21.13223076,7.48080969,13.36725903
"71",1404.5,28,"28.54799843",66.25167084,35,"36.12787628","12.78926849","4.26374149",0.00559907,"5.58702421","14.51871681",358,"227.30285645","46.74503708","0.12575738","14.28947353",21.14948463,7.4869175,13.35635376
"72",1317.25,26,"27.57599831",98.90653229,35,"36.59281158","12.95385456","2.85602975",0.07563604,"3.19887686","14.78010464",363,"227.52070618","46.74412918","0.12634662","14.5515461",21.18260574,7.49864244,13.33546925
"73",831.5,8,"9.86399937",85.1539917,35,"36.98761749","13.09361649","3.31728435",0.02483802,NA,"14.81770802",368,"227.83790588","46.74364471","0.12666322","14.58974361",21.20704079,7.50729275,13.3201046
"74",1044.25,4,"3.88800001",21.90507317,35,"36.8988533","13.06219387","12.89564228",0.01927904,NA,"14.49246216",373,"228.11114502","46.74176025","0.12788641","14.2772274",21.20886421,7.50793791,13.31895924
"75",1011.75,14,"12.63599968",8.3787117,35,"36.42324066","12.89382648","33.71401215",0.06084324,"4.13157892","14.46000004",378,"228.02192688","46.73669815","0.1311779","14.24630547",21.19797134,7.5040822,13.3258028
"76",1184.5,16,"14.39999962",17.48724365,35,"36.31842041","12.85671997","16.15348816",-0.05703089,"3.44656634","14.45853615",383,"228.02635193","46.73095322","0.13491201","14.25",21.20446587,7.50638103,13.32172203
"77",1366.75,19,"18.86399841",51.96209335,35,"36.43968964","12.89964962","5.43627071",0.03132203,"1.62767899","14.47087383",388,"228.00830078","46.7303772","0.13528657","14.26315784",21.21618843,7.51053047,13.31436157
"78",1623.25,22,"22.4279995",23.38855934,36,"36.25681305","12.8349123","12.07769966",0.0554926,"3.00376844","14.58571434",393,"228.17771912","46.72302628","0.1400636","14.38028145",21.22438431,7.51343203,13.30922031
"79",1446,18,"20.84399986",59.85700989,36,"36.34521484","12.86620617","4.71924686",0.04763272,"1.4543252","14.62559223",398,"228.19212341","46.72141647","0.14111173","14.42056084",21.24032593,7.51907539,13.29923153
"80",1488,22,"19.90800095",17.4732914,36,"36.20542145","12.81672001","16.16638756",0.08460663,"4.29225349","14.73611069",403,"228.33895874","46.71913528","0.14259277","14.53424644",21.23889351,7.51856804,13.30012798
"81",1471.25,29,"29.98799896",24.2173214,36,"36.01442337","12.74910641","11.66437817",-0.03191646,"9.39473724","14.77880192",408,"228.29017639","46.71164703","0.14746137","14.57727242",21.24032402,7.51907492,13.29923248
"82",1299.75,24,"24.98399925",97.45717621,36,"36.45966339","12.90672016","2.89850402",0.02754615,NA,"14.99095058",413,"228.29525757","46.71019745","0.14840223","14.7901783",21.26927185,7.52932215,13.28113174
"83",832.25,16,"18.43199921",77.64655304,36,"37.12140656","13.14097786","3.63802361",0.03078252,NA,"15.04484272",418,"228.86921692","46.70833588","0.14961326","14.84513283",21.31595993,7.5458498,13.25204182
"84",831.5,5,"7.45199966",20.16355324,36,"37.16748428","13.15728951","14.00943565",-0.06858569,NA,"14.98678398",423,"229.30947876","46.70540619","0.15151839","14.79130459",21.3364315,7.55309677,13.23932743
"85",937.25,12,"7.59599924",16.58661461,36,"36.81079865","13.03102303","17.0306015",-0.01359432,"0.87464744","14.94298267",428,"229.23500061","46.7039032","0.15249312","14.74891758",21.32883453,7.55040741,13.24404335
"86",1693,23,"17.02799988",13.34182167,36,"36.65005112","12.97411823","21.17251968",0.04121029,"3.49451566","15.00858402",433,"229.18772888","46.69820404","0.15619779","14.81779671",21.32580948,7.54933691,13.24592113
"87",1554,19,"21.13199997",77.94313812,36,"36.86259842","13.04936028","3.62418032",0.18012676,"3.98022008","15.04700851",438,"229.15103149","46.69280624","0.15970787","14.85653973",21.34930801,7.55765533,13.23134232
"88",837.75,1,"7.41599941",58.4573555,37,"37.00753021","13.10066605","4.83224058",0.02225015,NA,"14.94958019",443,"229.37364197","46.69126892","0.16070667","14.76348591",21.36334229,7.5626235,13.22264957
"89",839,0,"1.22399998",0,37,"36.78884506","13.02325153",NA,0.03001705,NA,"14.94958019",448,"229.45858765","46.69061661","0.16113067","14.70247936",21.35713005,7.56042385,13.2264967
"90",1029.75,0,"1.11599994",0,37,"36.77732086","13.01917171",NA,-0.34372908,NA,"14.94958019",453,"229.44932556","46.68956757","0.1618118","14.52244854",21.35674477,7.56028795,13.22673416
"91",809.5,0,"0",0,37,"36.75450516","13.01109505",NA,0.13727206,NA,"14.94958019",458,"229.42417908","46.68613052","0.16404597","14.40485859",21.35597801,7.56001616,13.22721004
"92",740.5,0,"0",0,37,"36.72085571","12.99918365",NA,0.02619905,NA,"14.94958019",463,"229.39830017","46.68338394","0.16583189","14.23200035",21.35482597,7.55960846,13.22792244
"93",723.25,0,"0",0,38,"36.70978928","12.99526501",NA,0.03033644,NA,"14.94958019",468,"229.39170837","46.6828804","0.16615897","14.17529869",21.3544426,7.55947304,13.2281599
"94",736.25,1,"0",3.2072041,38,"36.48947144","12.91727352","88.07672119",0.02054312,"1.22190392","14.89121342",473,"229.36557007","46.67923355","0.16852887","13.90234375",21.34722519,7.55691767,13.23263264
"95",975.25,5,"0",4.65624237,38,"36.07261276","12.76970482","60.66694641",0.02784157,"0.09847961","14.83333302",478,"229.19966125","46.67733002","0.16976805","13.85214043",21.33320618,7.55195522,13.24132824
"96",961,13,"0",7.83003378,39,"35.8993454","12.70836735","36.07647324",-0.04717072,"3.57800889","14.73360634",483,"229.10821533","46.67243958","0.17294566","13.77394676",21.32812691,7.55015707,13.24448204
"97",1179.25,21,"0",22.18955612,39,"35.67331314","12.62835217","12.7303133",0.03226376,"8.49299908","14.74693871",488,"228.98364258","46.66558838","0.17739992","13.79007626",21.3250618,7.54907179,13.24638557
"98",1275.5,19,"0",22.77062416,39,"35.99698639","12.74293327","12.4054575",0.04060293,"5.36009264","14.80241966",493,"229.35366821","46.66139603","0.18012413","13.85282993",21.36164474,7.56202221,13.22370052
"99",846.75,14,"16.70399857",69.60089111,39,"36.19582748","12.81332207","4.05856848",-0.08230604,NA,"14.81124496",498,"229.35725403","46.6609726","0.18040027","13.86466122",21.37975311,7.56843281,13.21250057
"100",1219.25,24,"20.62800026",18.606287,39,"35.96377563","12.73117638","15.18196487",-0.01416006,"1.54865158","14.88188934",503,"229.46194458","46.64868546","0.18838602","13.94833946",21.37598419,7.56709814,13.2148304
"101",1455,28,"26.31599998",17.76864815,39,"35.85799026","12.69372845","15.89766407",-0.06648734,"10.06773472","14.92941189",508,"229.44226074","46.64695358","0.18951248","13.99632359",21.37463188,7.5666194,13.21566677
"102",912.75,14,"26.74799919",88.42914581,39,"36.18762589","12.81041908","3.19442201",0.03994602,NA,"15.06923103",513,"229.70626831","46.6450882","0.19072285","14.14440441",21.40143394,7.57610798,13.19911575
"103",1075.5,15,"25.63199806",12.10076237,39,"36.22726822","12.8244524","23.3439846",0.0221857,"1.4342922","15.01908398",518,"229.88088989","46.6431427","0.19198845","14.10394287",21.41510773,7.58094835,13.19068718
"104",1223.25,24,"23.25599861",14.89279747,39,"35.97491455","12.73511887","18.96755791",0.00378995,"4.26591682","15.10526276",523,"229.76953125","46.63508987","0.19722264","14.19787979",21.40947914,7.57895565,13.19415569
"105",1419.5,29,"25.63199806",35.98151016,39,"35.92570496","12.7177","7.85069847",-0.00700461,"2.85785508","15.1498127",528,"229.73912048","46.62954712","0.20082602","14.24295807",21.41707802,7.58164597,13.18947411
"106",1213,24,"30.31200027",105.59237671,39,"36.29095459","12.84699726","2.67519331",0.05018159,NA,"15.32472324",533,"230.21702576","46.6269455","0.20251797","14.42013931",21.45816994,7.59619236,13.164217
"107",907.5,14,"27.3599987",93.28540039,39,"36.53175354","12.93224144","3.02812648",0.01898156,NA,"15.34558868",538,"230.23269653","46.62663651","0.20271827","14.44290638",21.48578262,7.60596704,13.14729881
"108",1301.25,18,"15.6960001",14.79303741,39,"36.53421783","12.93311405","19.09546852",-0.01736084,"5.52914047","15.3381815",543,"230.69946289","46.62054062","0.20667908","14.44520569",21.50278473,7.61198568,13.13690376
"109",1319.25,26,"16.41599846",20.64221382,39,"36.44968796","12.90318966","13.6845789",0.06920005,"7.32620192","15.35869598",548,"230.66673279","46.61935043","0.20745307","14.46757698",21.50246239,7.6118722,13.13709927
"110",1134,22,"21.31200027",103.35774231,39,"36.59443283","12.95442867","2.73303175",-0.01026432,NA,"15.5",553,"230.87031555","46.61658859","0.20924914","14.61279488",21.52383995,7.61943913,13.12405205
"111",1104,22,"17.96399879",48.62843704,39,"36.94267273","13.07770538","5.80894661",0.02509818,"3.70126557","15.51245594",558,"231.154953","46.61595917","0.20965755","14.62751675",21.55994034,7.63221884,13.10207653
"112",871.25,14,"24.19199944",63.02913284,39,"37.27073288","13.19383907","4.48173714",0.01172625,NA,"15.59649086",563,"231.46003723","46.61309052","0.2115234","14.71854305",21.59505081,7.6446476,13.08077526
"113",1563,21,"14.50800037",15.08985996,39,"37.21609879","13.17449951","18.71985626",0.01357423,"9.29605293","15.57342625",568,"231.72776794","46.61190796","0.21229005","14.69966984",21.60272217,7.64736319,13.07612991
"114",1428.5,29,"21.99600029",48.9739151,39,"37.18373871","13.16304398","5.76796818",0.01531716,"11.15814877","15.67474079",573,"231.66722107","46.60699844","0.21548335","14.8039217",21.61193848,7.65062618,13.07055378
"115",1589.25,31,"26.74799919",38.51841354,39,"37.21920013","13.17559624","7.33363533",0.02172755,"5.75854635","15.72413826",578,"231.83659363","46.60206985","0.21868593","14.85342026",21.62612534,7.65564823,13.06197929
"116",1580,35,"32.47200012",102.83700562,39,"37.1523819","13.15194321","2.74687099",0.03019848,"3.24321127","16.00677872",583,"231.89755249","46.60080338","0.21950904","15.13461494",21.62692833,7.65593243,13.06149483
"117",1486.75,42,"36.57600021",24.86467552,39,"37.04039001","13.11229801","11.36069584",-0.02864004,"15.05857944","16.14814758",588,"231.87915039","46.59132385","0.22567181","15.27388573",21.6300106,7.65702343,13.05963326
"118",1461.75,41,"40.10400009",149.71286011,39,"36.97545242","13.08930969","1.88681185",0.01599593,NA,"16.4850502",593,"231.88508606","46.58993149","0.22657676","15.60377312",21.63081169,7.65730715,13.05914974
"119",1404.5,39,"41.14799881",113.50811768,39,"36.84747696","13.0440073","2.48863268",0.02487821,"3.77904582","16.65016556",598,"231.89164734","46.58779907","0.22796267","15.765625",21.63241386,7.65787411,13.05818272
"120",1006.5,28,"39.34799957",102.69782257,39,"36.72198486","12.99958229","2.7505939",0.03761612,NA,"16.89902306",603,"231.90458679","46.58694839","0.22851405","16.01234627",21.63401413,7.65844107,13.05721569
"121",831.25,11,"22.46399879",98.82289124,39,"37.01911926","13.1047678","2.85844707",0.00061973,NA,"16.95792961",608,"231.90577698","46.58546448","0.22947881","16.07361984",21.66255951,7.6685462,13.0400095
"122",774.5,10,"10.00799942",21.91313934,39,"37.0432663","13.11331654","12.8908968",0.02702416,"1.2517668","16.85350227",613,"232.28370667","46.5836525","0.23065677","15.98791504",21.67011261,7.67121983,13.03546524
"123",720,1,"3.70799971",31.04161453,39,"37.01482391","13.10324764","9.10004234",0.01479726,NA,"16.81904793",618,"232.2744751","46.58180237","0.23186052","15.95783138",21.67357635,7.67244577,13.03338242
"124",676.75,1,"2.9519999",4.49381495,40,"36.71466064","12.9969902","62.85972977",0.01386619,NA,"16.57187462",623,"232.2441864","46.58104706","0.23235166","15.73590469",21.66129684,7.66809893,13.04077053
"125",899.25,16,"4.96799994",2.19584155,39,"36.55335617","12.93988895","128.64317322",-0.02626763,"1.34132862","16.53582573",628,"232.17269897","46.58034134","0.23281053","15.70414162",21.65410995,7.665555,13.0450983
"126",1605.75,21,"7.84800005",84.1811676,40,"36.7923851","13.02450371","3.35561991",0.08054423,"2.53511","16.56441689",633,"232.15115356","46.57647705","0.23532251","15.74344063",21.68414688,7.67618799,13.02702808
